periodo,molienda_cereales_y_oleaginosas,resto_de_alimentos,bebidas,tabaco,textil_indumentaria_y_cuero,madera_papel_y_edicion,refinacion_de_petroleo,quimicos,caucho_y_plastico,minerales_no_metalicos,metales_basicos,metalmecanica,automotriz,resto_de_industria,total_industria
2011-01-01,116651.7456222897,136659.5123768114,47865.66549553879,2725.804437868366,83257.97159001222,114833.2554495164,61928.03853318444,203502.6079654986,84290.52883526246,159409.5225726612,299761.7618946636,24769.44431852358,41506.23982480035,1175.169755838784,1382099.615044252
2011-02-01,113852.5794951857,137724.3443041328,48170.70934844964,2976.321061231299,81638.73810404789,115447.1467028183,62875.74577186463,201580.1562269226,85351.77882692368,157357.3408753146,329513.2479009866,24815.77385698643,42346.72667302097,1138.005957739463,1404655.676629032
2011-03-01,121215.5813313624,136769.4343960637,45081.63950161615,2830.4668294575,73907.60805930938,113627.3879882678,61912.25648804406,198372.2545252328,82438.51609154623,161761.5857808455,289416.8068019282,24046.32619740353,43077.58416693529,1139.205203936167,1368509.591983535
2011-04-01,116190.8202875508,139763.8251137413,47765.74045819751,3004.365536314254,74844.03045398917,122090.933472716,61592.92282806196,200930.5602993199,83770.73603856654,162826.4179863129,292972.0426873087,24380.93793416872,44246.88870270462,1110.07826198982,1376878.044543877
2011-05-01,112921.7790029197,137179.1996246773,46236.06991584784,2867.322850329198,74965.21339680935,118783.6436450438,60553.91535284634,199423.4797533733,83677.24449716997,169749.8722090597,316596.5133479156,24230.44416068519,45735.21239592025,1071.2093591018,1393881.843171855
2011-06-01,106097.6852267053,136408.0503698975,46877.81139489487,3363.030696363923,75424.78004721482,114798.8591252558,59914.25569835114,203957.1774688988,83139.62398111925,158978.336007049,306054.9087139564,23900.31996274036,45258.28471744266,952.8991140313663,1376842.959425657
2011-07-01,107011.1728107282,136605.3775047729,47277.31023891675,2834.748270669597,73375.33154459641,116941.552790183,59767.59616061924,199032.7168044592,82928.46553905656,164408.4867404905,336437.2854399605,24207.74418059544,44398.41338145421,819.067192832879,1382369.194862018
2011-08-01,111411.8500176972,137066.5978202295,47450.9441536575,2780.882183168661,72323.75095771189,119939.7806745174,60301.0554650772,204367.3309654671,83600.9088164219,164896.1013770582,311761.424496924,24868.07693846309,44956.76713761211,927.4259347745373,1383396.497892873
2011-09-01,119621.4742503429,139692.3615054562,46179.01853777145,2781.86697838493,72888.73294585086,116681.6266167695,58707.12027589507,203075.0853627163,81413.70371045551,168795.6134013602,279418.8732302753,23902.6289738787,44728.4515826389,897.4657538102443,1354611.2841589
2011-10-01,121165.2571088357,140417.5015871564,48068.01263633541,2789.077626064805,71700.46420114057,116131.2105999447,60867.84222185864,203573.9356249255,83435.59287864357,164839.1414590382,293070.6190740031,24107.83221836702,42808.3353588598,957.308317263209,1371109.810558053
2011-11-01,121652.2779204449,139113.5215767695,48051.53741495515,2818.480769629363,73704.49826168787,116144.2767696402,62231.05172852345,202239.4424122488,82307.1231685872,166817.151333497,286146.8465548552,23891.12060121619,43792.49851496196,1023.301612425186,1373138.282082049
2011-12-01,122936.3532436399,139152.4702989854,47478.8203434578,2732.798086191155,69263.87169726304,117903.960836468,62860.65436669115,205569.0873628323,84669.57018843321,170179.8327137249,295908.0060340058,23824.96678159311,43311.61203148213,1147.392519172669,1382432.982641819
2012-01-01,121615.6696078731,140579.6130755661,47870.20437682598,2901.497758263131,74562.11727785817,121056.0981064755,58273.74650915394,203234.5912302044,81562.73316268891,170447.7079019848,284982.7715563317,24002.93467483804,45949.23085846917,987.1116451984346,1380887.8968622
2012-02-01,119156.7313913649,134440.8334994811,47102.50070185215,2719.292362973169,75143.46373908159,120608.9055849109,61230.45817217672,210119.1365500531,84089.45227453878,169240.0724827377,300136.8352561706,23566.27732266658,42639.35535718481,1018.635268499401,1390140.910903673
2012-03-01,114701.4257614033,140510.4382320821,50463.11558591483,3493.431384630455,77284.89369483826,123050.6684271602,59634.43780708043,206520.4950933783,89628.72994721352,167795.1658074115,313556.5990537149,24575.92486868477,43424.25404691778,1062.493288743581,1423236.33021659
2012-04-01,112101.8962275641,137231.0358745719,46987.36868767835,2644.182888200366,74232.57130456045,119856.2606799724,55541.94858274575,201097.0492684855,82794.94406786638,166838.6120382407,313708.620809789,23106.63567291747,42377.98837225827,1012.582424375024,1379628.368260628
2012-05-01,110450.6630978435,139786.3084825819,46702.76519661258,2762.434847685056,76361.05516226872,117542.1792366414,52930.79690729319,199846.4807004732,82375.5727569383,163327.7992517359,292039.2702959043,23028.34646677172,42565.12563887796,942.0776181403465,1353505.303514829
2012-06-01,112706.3842543295,140031.3496760817,46612.04934676856,2724.123592435359,76669.95989964664,117512.36218704,58131.4505429127,199736.6650671615,84401.6648423976,165658.9894756241,298422.02982334,23228.21965255492,42213.66253925064,1003.062183672968,1378715.960666361
2012-07-01,109535.6288136188,140188.3803778681,47035.83781909316,2862.100753790906,77104.60492873404,116607.3422175723,59264.95603265327,208286.453021034,83653.8181600481,165766.9831627291,286527.8672203198,22865.35896729228,43886.47758667312,922.3940505484976,1352477.092945123
2012-08-01,105114.0988523256,140650.4645016854,47536.27651193161,2818.905904806029,78732.34943652598,116977.7812946433,56424.53803522385,204279.0741500773,86104.74925642268,161523.9481590981,288251.1479861883,23225.43211005579,44708.44343303587,988.2553506965745,1349199.299285726
2012-09-01,102274.2911455625,141678.7765459995,46275.34716391121,2921.432810629448,76589.15560955931,115807.9814352712,59224.53546968561,205117.6506918316,87708.99552649827,166698.2060840506,293348.2289481741,23264.89119469537,42232.62759404674,1040.258556495429,1371005.986545794
2012-10-01,104772.1678083308,140625.2319168232,45745.86803275809,2875.127192668313,78319.40316694262,115069.3113685248,60604.65005966227,201765.7985258715,86728.05265072641,166546.94902229,289891.6315598239,22657.35932825032,43395.77492741129,956.197022857985,1354124.932725437
2012-11-01,106696.8844598866,143005.9310853211,47725.05946853013,2828.965944215421,78891.14134693336,115719.1226582418,58591.58777167704,205948.7692335825,88414.68368996948,158525.9967363079,278053.2996928934,23048.63743680897,43539.38793668016,1007.253222795434,1347194.281778112
2012-12-01,104961.6566777587,140102.1717976028,49483.3350248128,2893.475536480424,74727.1212351529,115513.5995202227,56760.60654147221,203033.0885860304,86309.62284957094,162851.2560323195,277581.905498261,22614.53832589894,42554.90191354039,956.7103210992608,1337519.186601764
2013-01-01,100651.1305730782,141979.7908358072,47120.7609387742,2897.246292328699,79478.78445464156,112165.6584829637,58934.16922100657,190584.3610308648,88160.7177590697,165837.2038429969,290715.7352872336,22404.85608741564,41901.90547427014,960.5343544015416,1350463.762809761
2013-02-01,96788.45436649898,136926.7172457912,48259.65538702413,2897.011408949398,70603.02777103316,112509.8665187131,59912.19586072096,201430.6104906059,84234.41737454552,170731.7981287465,282534.6840284024,22269.16766554594,43565.51125580976,921.2553512424232,1335120.978782699
2013-03-01,96423.17381077871,140762.5338214156,49119.17043014576,3194.614313993394,73805.87857183778,112980.8829745416,60931.48813912812,204650.0567126909,86719.75412558635,169749.869740241,291424.8403263005,23225.45104993498,43689.881937127,898.2430457451694,1361958.560436195
2013-04-01,103028.9690897387,142984.5290770035,45577.58508184208,2900.55067388414,78292.5059025089,112125.2463557665,65092.16514725534,204798.9303886651,87602.20469391682,162083.621474201,280121.4763007481,23181.13150591661,43781.35374621593,925.6165536285259,1357602.457388707
2013-05-01,104487.9774340572,145451.0705684412,48525.94000720597,2911.540648957023,78828.19738164441,116507.9884511956,64356.50716446718,208134.2039427609,89521.48143093854,170466.0953952775,278327.4780754675,23458.06273488746,46742.50029513326,986.037908893515,1373601.705016698
2013-06-01,108754.1525296851,144385.6470402593,49386.0573921005,2620.399988621374,77333.26373038613,116039.9903412368,70901.6560261397,202447.3833582696,84394.45484106109,170206.7307681077,240167.6748030856,22471.42100286466,41975.13688323477,986.5304045076157,1348273.942525861
2013-07-01,104757.106203118,144101.4533825878,48918.21159795666,2776.138263126586,79494.96533892587,108607.1735399054,66239.60091342451,189648.1401679618,89054.97394081754,168842.2509946326,269696.9369428655,23284.41903452506,44015.62894369959,1088.429184031356,1329912.089258317
2013-08-01,106544.3058296792,143225.854513278,47596.50955448241,2920.133732179984,79587.62129716095,115345.386092788,66040.47329563202,200764.9209434272,87454.17454391428,177442.208952948,286019.9845399988,23747.88091581064,43879.3387115273,1106.002846078459,1375522.505434755
2013-09-01,105868.0769989473,143158.0719170901,48857.17583287585,2826.480486212213,80469.60676914347,116372.9980724446,66177.6076588916,203370.4511593673,86714.75203135869,173734.1692653794,301424.8775432628,23132.76742900446,43733.67661220512,1109.27576697475,1394607.402239434
2013-10-01,96440.83116261475,143555.6095477959,49475.08891181876,2866.713290181011,81244.94401425362,118083.0437231192,65298.02636194121,208994.0341354733,87667.6546353828,171885.186933363,296016.5942583876,23162.17418601183,43643.61384584079,1120.736297136314,1388056.172639584
2013-11-01,92304.94117980605,143387.2780754054,49525.37239697872,2907.02523417027,79740.7378779921,117591.8544606181,68693.19725402731,208979.3525773844,86900.86635997446,172855.1333893142,292489.3336761369,22844.16197597595,41782.5218978558,1100.615241729461,1381009.448478042
2013-12-01,92047.26506897247,144691.9112233358,49128.03989971312,3003.478618291993,81627.74973994642,117004.2001226744,69696.14617792047,212094.7409380242,86560.11931736504,170928.3778838564,297931.3823417812,23027.98328756705,41221.30419459169,1068.597662317808,1384027.317348906
2014-01-01,99094.13649471712,140765.3823735336,50251.04366218894,2909.102513668928,77677.88193401344,117573.2260844289,70578.72430516704,212485.2447051797,86724.61992615271,164038.6083923331,287782.7631029067,22656.3469072339,38432.99850927389,1111.247718298063,1371375.685068913
