X,t,localA,localB
1,40,10.345453254983397,13.170663256452672
2,41,9.936846812817809,13.396950717316361
3,42,10.522992039274005,12.628352075297784
4,43,11.447921038738423,14.079737350153666
5,44,11.525852509782208,12.078701120341067
6,45,10.315145486613416,12.617799921960616
7,46,11.418739878206898,12.237222952936133
8,47,0.92363078459907,12.803547991970055
9,48,10.9140483506525,12.47486202873639
10,49,11.051046082112121,11.543889326259341
11,50,10.722309625737555,11.429393346942266
12,51,11.123877326612101,10.638176345770653
13,52,10.488272514872941,10.015424140704223
14,53,9.869978926872227,10.844426381730539
15,54,9.749509629974247,11.196801994189755
16,55,9.455051821318012,11.912748282861147
17,56,9.8594725029973,12.140511336980843
18,57,8.913355863035457,11.628527520172904
19,58,9.163874470354818,11.969792224640806
20,59,8.660369680557952,11.884616256865334
21,60,7.972517845311286,11.950307739654592
